,file_path,sentence,section,labels, entities,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
467,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,"Interaction tests report  p- values from the Wald test in logistic regression (two-sided) as standard, after correction for multiple testing The full pipeline was run four times per model to assess robustness.",RES,Wald,PERSON,45,49,,,,
468,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,"For prediction, AUC values, statistical tests, and correlation analyses are based on the initial train-test split.",RES,AUC,ORG,16,19,,,,
469,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,"For association, variants were prioritised if they appeared in the top SNP selection in at least two repeats.",RES,SNP,ORG,71,74,,,,
471,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,2 Prediction from ML models in the test split for the most predictive models trained with the  APOE  region included.,RES,"ML, APOE","ORG, ORG","18, 95","20, 99",,,,
472,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,"The top two most predictive approaches (GBM, PRS) were not significantly different by AUC, as measured by DeLong’s test, though prediction from MB-MDRC 1 d was significantly below other methods ( a ).",RES,"GBM, PRS, AUC, DeLong’s, MB-MDRC 1","ORG, ORG, ORG, ORG, ORG","40, 45, 86, 106, 144","43, 48, 89, 114, 153",,,,
474,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,"Unadjusted  p -values from tests (ns: not significant, ****:  p  < 0.0005) are annotated on panel a for DeLong’s two-sided test for correlated ROC curve; see supplementary Data  3  for exact values.",RES,"DeLong’s, Data","ORG, ORG","104, 172","112, 176",,,,
476,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,"Distributions of covariate-adjusted predictions for the most predictive approaches are similar but show a more distinct multimodal distribution for GBMs ( c ), NNs ( d ) and MB-MDRC 1d ( f ) compared to PRS ( e ), illustrating stronger influence of  APOE  risk alleles on predictions.",RES,"MB-MDRC 1d, PRS, APOE","ORG, ORG, ORG","174, 203, 250","184, 206, 254",,,,
477,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\1_prediction\1_p.xml,"Panel ( g ) shows the consistency across methods for individuals’ prediction scores, where the participants in the 5% extreme tails of GBM predictions are followed across predictions from NN, PRS and MB-MDRC 1 d. Classifications metrics are given in ( h ).",RES,"GBM, PRS, MB-MDRC 1\u2009d.","ORG, ORG, ORG","135, 192, 200","138, 195, 212",,,,
480,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"SNPs prioritized by ML approaches were required to appear in at least two random train-test splits, ensuring more robust associations; they include both known (Table  1 ) and novel variants (Table  2 ).",RES,"ML, Table","ORG, ORG","20, 160","22, 165",,,,
481,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,Gradient boosting machines correctly distinguished the  APOE  haplotypes (Fig.,RES,"APOE, Fig","ORG, PERSON","56, 74","60, 77",,,,
483,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Figure  3b  further highlights modelling of the  APOE  region across methods, wherein GBMs and NNs correctly identify causal SNPs.",RES,APOE,ORG,49,53,,,,
484,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Known loci including  CR1, BIN1, IDUA, OTULIN, RASA1, RASGEF1C, CLU, ABCA1, MS4A*, PICALM, ABCA7, APOE, and CASS4  (Table  1 ) are highlighted by ML models (Fig.",RES,"IDUA, OTULIN, RASA1, RASGEF1C, CLU, ABCA1, MS4A, PICALM, ABCA7, APOE, Table, ML, Fig","ORG, ORG, ORG, PERSON, ORG, ORG, PERSON, ORG, PERSON, ORG, ORG, ORG, PERSON","33, 39, 47, 54, 64, 69, 76, 83, 91, 98, 116, 146, 157","37, 45, 52, 62, 67, 74, 80, 89, 96, 102, 121, 148, 160",,,,
486,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"In addition, several novel loci were identified with putative biological evidence for association with AD ( ARHGAP25 ,  COG7 ,  LINC00924/LOC105369212 ,  LY6H ,  SOD1  and  ZNF597 ) which were replicated in Jansen et al.",RES,"COG7, LOC105369212, LY6H, ZNF597, Jansen","PERSON, PERSON, ORG, ORG, PERSON","120, 138, 154, 173, 207","124, 150, 158, 179, 213",,,,
487,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,22  (Table  2 ).,RES,Table,ORG,5,10,,,,
488,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Association of an exonic missense variant was also highlighted in  AP4E1 , within 500 kb of the known  SPPL2A  locus (Table  2 ).",RES,SPPL2A,ORG,103,109,,,,
489,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Neural networks (NN) detected known loci in  APOE, BIN1, CYP27C1, ABCA1  and  ABCA7  (Fig.",RES,"APOE, ABCA7, Fig","ORG, PERSON, PERSON","45, 78, 86","49, 83, 89",,,,
490,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"3c ) and an additional novel locus ( SOD1 ), which also replicated in Jansen et al.",RES,Jansen,PERSON,70,76,,,,
491,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,22  (Table  2 ).,RES,Table,ORG,5,10,,,,
492,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"MB-MDR 1 d identified SNPs in 24 genes, the majority of which map to the  APOE  region, for at least two train-test splits.",RES,"MB-MDR 1, APOE","ORG, ORG","0, 74","8, 78",,,,
494,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,MB-MDR 1 d identified SNP-SNP pairs in the  APOE  region gene consistently through every train-test split.,RES,"MB-MDR 1, SNP, APOE","ORG, ORG, ORG","0, 22, 44","8, 25, 48",,,,
495,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,Single train-test splits also find genes outside of Chromosome 19 (Supplementary Fig.,RES,Chromosome,ORG,52,62,,,,
497,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"The majority of candidate novel loci were identified by GBMs, which find multiple loci with evidence for association with AD-related traits such as cognition, pTau, AD age-at-onset and neurofibrillary tangles from previous GWAS (see Table  2  and Supplementary Data  5 ).",RES,"pTau, Table, Supplementary Data","ORG, ORG, ORG","159, 233, 247","163, 238, 265",,,,
499,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,3 Association in ML models.,RES,ML,ORG,17,19,,,,
500,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,Uniform Manifold Approximation and Projection (UMAP) of raw (unscaled) SHAP values for GBM hits highlights that  APOE  alleles are identified and drive prediction ( a ).,RES,"Uniform Manifold Approximation and Projection, UMAP, GBM, APOE","ORG, ORG, ORG, ORG","0, 47, 87, 113","45, 51, 90, 117",,,,
501,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Neural networks and gradient boosting both rank the SNPs required to derive the e2 and e4 allele status for  APOE  as highest, unlike traditional GWAS ( b ).",RES,APOE,ORG,109,113,,,,
502,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Values for neural networks and GBMs are not based on  p -values, as described below, while p-values in ( b, c ) (GWAS) are from a logistic regression in the training split, using a logistic regression and  p -values from a two-sided Wald test as standard.",RES,Wald,PERSON,233,237,,,,
503,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Manhattan plots are given for top hits only from gradient boosting (mean absolute SHAP values), neural networks (normalised network layer weights) and MB-MDRC 1 d (−log10  p -values), where hits from different random splits of the models are shown in different colours, and all variants from a single GWAS on the train split are shown in greyscale for comparison (right hand y-axis) ( c ).",RES,MB-MDRC 1\u2009d (,ORG,151,164,,,,
504,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"p -values for MB-MDRC 1 d in ( b ,  c ) are derived from a two-sided permutation-based test as implemented in MDMDR 61 , 62 .",RES,MB-MDRC 1\u2009d in,ORG,14,28,,,,
505,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,Hits from machine learning models (see Table  2 ) are enrichment for known Alzheimer’s disease processes ( d ).,RES,Table,ORG,39,44,,,,
506,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Table 1 18 known loci prioritised by machine learning models Locus Band Model SNP Gene (Known Locus) 1 1q32.2 A, C rs6666604,rs1367068* CR1;CD55 2 2q14.3 A, B, C rs79527490,rs3754617* BIN1 3 4p16.3 A, C rs4690324,rs4690221* IDUA 4 5p15.2 C rs31930,rs11133794 OTULIN 5 5q14.3 A, C rs4141503 RASA1 6 5q35.3 A, C rs113706587 RASGEF1C 7 6p21.1 C rs9381040,rs3747742* TREML2;NFYA 8 6p21.32 A, C rs3135392,rs6931277* HLA-DQA2;HLA-DRB5 9 8p21.1 A, C rs7831810,rs10866859* EPHX2;CLU;SCARA3 (CLU) 10 8p23.1 C rs4731,rs1065712 FDFT1 11 9q31.1 B rs76996768,rs2777800* ABCA1 12 11q12.2 A, C rs983392,rs7232* MS4A6A;MS4A6E 13 11q14.2 A, C rs536841,rs471470* PICALM 14 14q32.12 C rs10498633,rs12590654 RIN3 15 15q21.2 A rs2306331 AP4E1 16 19p13.3 A, B, C rs11672916,rs3795065* ABCA7;CNN2 17 19q13.32 A, B, C, D rs7412, rs429358* APOE 18 20q13.31 A, C rs6069736,rs6127744 RTF2 (CASS4) 19 21q21.3 A rs2830500,rs2830520 ADAMTS1 Loci are defined as known if genome-wide significant in major AD GWAS (Supplementary Data  1 ) and containing at least one SNP in the top variant list from an ML model (A: GBM, B: NN, C: MB-MDRC 1 d, D: MB-MDRC 2 d).",RES,"Locus, CLU, FDFT1, AP4E1 16, Loci, Supplementary Data, SNP, ML, GBM","ORG, ORG, PERSON, PERSON, PERSON, ORG, ORG, ORG, ORG","61, 483, 517, 716, 911, 982, 1034, 1070, 1083","66, 486, 522, 724, 915, 1000, 1037, 1072, 1086",,,,
507,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,Chromosomal bands use build GRCh38p.14 from Ensembl release 111 in BiomaRt.,RES,Ensembl,PERSON,44,51,,,,
508,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,*SNP list curtailed at two rsids: see Supplementary Data  5  for full list.,RES,Supplementary Data,ORG,38,56,,,,
509,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"Table 2 34 putative novel loci prioritised from machine learning models Locus Band Model SNP Gene Replication  p -value Summarised GWAS Catalogue Traits 1 2p13.3 A rs80275456 ARHGAP25 0.0116† Blood count, Psychiatric disorders, Lipid metabolism 2 3p21.1 A rs3774423 CACNA1D 0.7828 CVD, Sleep, Cognition, Adiposity, Smoking 3 3p24.1 B rs2371108,rs9828781 EOMES 0.6256 Inflammation, Arthritis, Blood count 4 3p25.1 A rs7636739 SH3BP5 0.781 Smoking, Alcohol 5 3p25.2 A rs7645264 RPL32 0.9424 Adiposity 6 4q21.22 B rs17005633 HNRNPDL 0.4745 7 4q27 A rs75623120 TRPC3 0.2129 Inflammation 8 4q34.3 A rs1363592,rs2546251 LINC00290 0.4379 AD in APOE-e4, CSF AB1-42 levels, CAA x APOE-e4, Psychiatric disorders 9 6p21.33 A rs12210887 LSM2 0.933 Psychiatric disorders, Inflammation, Infection 10 6p22.2 A rs9393777 BTN3A1 0.6977 Diabetes, Psychiatric disorders, Cognition, Adiposity 11 7p15.3 A rs11770728 CCDC126 0.0832 Liver, Cardiovascular function 12 7p21.2 A rs10486769,rs16878585 MEOX2 0.0564 CVD, Lipid metabolism, Brain volume,Adiposity 13 8p12 A rs76461905,rs11780927 RNF122;DUSP26 0.4174 Sleep, BMI, Pulse pressure 14 8p23.2 A rs11136920 CSMD1;LOC100287015 0.4383 AD, CVD, Inflammation, Sleep, Diabetes, Psychiatric disorders, Smoking, Lipid metabolism 15 8p23.3 A rs1550948,rs73175035 FBXO25 0.0617 Inflammation, Alcohol, Moyamoya disease 16 8q21.13 A rs11778492 ZC2HC1A 0.2123 Depression, Inflammation, Weight 17 8q21.13 A rs11987678 TPD52 0.6003 Inflammation, Diabetes, Sleep 18 8q24.3 A rs7013750 LY6H 0.0449† Smoking, Diabetes, Cognition 19 13q14.13 A rs9567575 SIAH3 0.8082 NFTs, Clusterin levels, Diabetes, Cortical surface area, Cardiovascular function 20 13q33.1 A rs1333277 DAOA-AS1;LINC01309 0.0992 Smoking, Diabetes, Cognition, CSF TREM-2, PHF-tau, Adiposity 21 14q11.2 A rs1107390 DAD1;ABHD4 0.991 Inflammation, liver function 22 14q32.33 A rs7143644 C14orf180;TMEM179;INF2 Inflammation, Psychiatric disorders 23 15q21.1 A rs498976 SEMA6D 0.9661 Cognition, Psychiatric disorders, Sleep, Longevity, Smoking, Anthropometric traits 24 15q26.2 A rs117354036,rs4247092 LINC00924;LOC105369212 0.0345† Cognition in MCI, Inflammation, Smoking, CVD 25 15q26.2 A rs12911308 MCTP2 0.0788 CSF pTau in AD, CVD, Inflammation, Diabetes, Psychiatric disorders 26 15q26.3 A rs12901450,rs8035839 TARS3 0.7071 27 16p12.2 A rs250583 COG7 0.001† Cholesterol x fenofibrate 28 16p13.3 A rs4786422 ZNF597 0.0227† 29 17p13.1 C rs11078722 KCNAB3 0.2143 Smoking, Blood pressure 30 18q12.2 A rs17561693,rs1941955 MIR4318;MIR924HG;CELF4 0.349 Smoking, Obesity, Diabetes, Psychiatric disorders, Sleep 31 18q21.33 A rs694419,rs17729530 ZCCHC2 0.2432 PHF-Tau, Sleep, Psychiatric disorders, Inflammation, Cognition, Adiposity 32 20q11.22 A rs910873 ASIP 0.942 AD AAO, Skin cancer, Smoking 33 21q22.11 B rs4998557,rs4816407* SOD1 0.0147† ALS, Globulin-levels Top predictors from machine learning models within 500 kb of each other were merged using bedtools v2.27.1, or if functionally or positionally annotated with the same gene.",RES,"Locus, Psychiatric, Blood, rs7636739, CSF, Psychiatric, Inflammation, Psychiatric, 0.0832 Liver, Cardiovascular, CVD, Brain, BMI, CVD, Psychiatric, Clusterin, Cardiovascular, CSF, Psychiatric, Psychiatric, Sleep, Longevity, Smoking, Anthropometric, MCI, Inflammation, Smoking, CVD, Psychiatric, COG7, Blood, 0.349 Smoking, Psychiatric, Psychiatric, Inflammation, Cognition, Adiposity, ALS, Globulin","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, PERSON, ORG, ORG, ORG, ORG, ORG","72, 205, 392, 415, 646, 680, 759, 829, 904, 918, 989, 1012, 1095, 1168, 1204, 1586, 1637, 1740, 1901, 1970, 1993, 2121, 2126, 2206, 2235, 2326, 2449, 2521, 2555, 2648, 2671, 2817, 2822","77, 216, 397, 424, 649, 691, 771, 840, 916, 932, 992, 1017, 1098, 1171, 1215, 1595, 1651, 1743, 1912, 1981, 2034, 2124, 2147, 2209, 2246, 2330, 2454, 2534, 2566, 2659, 2705, 2820, 2830",,,,
510,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,"We prioritise the 34 loci which have support from more than one split in a machine learning model (A: GBM, B: NN, C: MB-MDRC 1 d, D: MB-MDRC 2 d) or replication in an external dataset (Jansen et al., 2019 22 ), defined as at least one SNP from the listed rsIDs in that row of the table which is present at  p  ≤ 0.05 in publicly available summary statistics.",RES,"GBM, Jansen et al., SNP, rsIDs","ORG, PERSON, ORG, PERSON","102, 185, 235, 255","105, 198, 238, 260",,,,
511,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,Chromosomal bands were extracted for GRCh38p.14 from Ensembl release 111 using BiomaRt; gene annotation methodology is described in the methods section.,RES,"Ensembl, BiomaRt","PERSON, ORG","53, 79","60, 86",,,,
512,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,The direction of effect is not included here as for ML approaches no single direction is obtained: different subgroups may have varying associations with the outcome for a given SNP.,RES,"ML, SNP","ORG, ORG","52, 178","54, 181",,,,
514,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,Traits related to AD and dementia which were annotated from the GWAS catalogue and summarised; a full list of traits from past GWAS and corresponding PubMed IDs is given in Supplementary Data  5 .,RES,"PubMed, Supplementary Data","ORG, ORG","150, 173","156, 191",,,,
515,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\1_p.xml,*SNP list curtailed at two rsids: see Supplementary Data  5  for full list.,RES,Supplementary Data,ORG,38,56,,,,
518,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\2_p.xml,"Since ML may identify non-linear SNP-SNP interactions, pairwise interaction tests were performed for all top SNPs identified using machine learning models (Tables  1  and  2 ).",RES,"ML, SNP-SNP","ORG, ORG","6, 33","8, 40",,,,
519,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\2_p.xml,"Of 17,205 SNP-SNP pairwise interactions, 13 pairs were significant under a standard regression framework (encoded as a multiplicative interaction) after accounting for multiple testing and excluding pairs where both are within the  APOE  region.",RES,APOE,ORG,232,236,,,,
520,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\2_identification_of_ad-associate\2_p.xml,"The two SNP-SNP pairs with the strongest evidence for association were between SNPs rs405509 and rs600550 (beta = 0.058,  p FDR  = 6.8 × 10 −5 ), and SNPs rs405509 and rs12421663 (beta = −0.056,  p FDR  = 1.8 × 10 −4 ), both of which involve SNPs in the  APOE  and  MS4A*  regions (Supplementary Data  6 , Supplementary section  2.5 ).",RES,"SNP-SNP, rs600550, FDR, FDR, APOE, MS4A, Supplementary Data","ORG, PERSON, PERSON, PERSON, ORG, PERSON, ORG","8, 97, 124, 198, 255, 266, 282","15, 105, 127, 201, 259, 270, 300",,,,
521,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\1_p.xml,"Known lead variants in  APOE  and  BIN1  were the most important predictors in GBMs and NNs, with the SNPs used to derive  APOE  status (rs7412 and rs429358) identified and ranked as the most important SNPs by both GBMs and NNs but not by a GWAS in the training set (Fig.",RES,"APOE, APOE, Fig","ORG, ORG, PERSON","24, 123, 267","28, 127, 270",,,,
523,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\1_p.xml,"To compare the ML findings with GWAS results, we included SNPs not only identified in the training set in our study, but also all SNPs reported as genome-wide significant by larger meta-analyses (Supplementary Data  1 ) and applied the same gene annotation strategy as for the top variants from ML models (see  “functional annotation and enrichment analysis” ).",RES,"ML, Supplementary Data, ML","ORG, ORG, ORG","15, 196, 295","17, 214, 297",,,,
526,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\1_p.xml,"Of these, 19 loci were implicated by at least one ML methodology (Supplementary Fig.",RES,ML,ORG,50,52,,,,
528,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\1_p.xml,"APOE  was found by all methods, seven loci ( PICALM, IDUA, RASGEF1C, CLU, CR1, RTF2, RASA1 ) were found by GBMs and MB-MDRC 1 d, and two ( ABCA7, BIN1 ) by MB-MDRC 1 d, GBMs and NNs.",RES,"PICALM, IDUA, CLU, CR1, RTF2, MB-MDRC 1\u2009d, MB-MDRC 1\u2009d","ORG, ORG, ORG, ORG, ORG, ORG, ORG","45, 53, 69, 74, 79, 116, 156","51, 57, 72, 77, 83, 127, 167",,,,
529,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\1_p.xml,"ABCA1  was only detected by NNs, and two ( SPPL2A ,  ADAMTS1 ) only by GBMs (Table  1 ).",RES,SPPL2A,ORG,43,49,,,,
530,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\2_p.xml,"Motivated by published evidence suggesting that different variants are associated with the disease depending on  APOE  status, ML models were compared when trained with and without the  APOE  region in the same train-test split.",RES,"APOE, ML, APOE","ORG, ORG, ORG","113, 127, 186","117, 129, 190",,,,
531,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\2_p.xml,"Remarkably, GBMs without the  APOE  region found more known AD risk genes than when trained with  APOE  (see Supplementary section,  2.6 ), but with lower AUCs (Supplementary Fig.",RES,"APOE, APOE","ORG, ORG","30, 98","34, 102",,,,
533,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,"When the list of SNPs is limited to those which could be identified in the  current data  (using a GWAS in the corresponding training splits), all GWAS-significant SNPs were prioritised by at least one ML approach (Fig.",RES,"ML, Fig","ORG, PERSON","202, 215","204, 218",,,,
535,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,"Furthermore, ~84% at the suggestive significance level ( p  ≤ 10 −5 ) were retrieved by at least one ML approach.",RES,ML,ORG,101,103,,,,
537,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,4 UpSet plot showing the overlap between ML and GWAS significant findings from the train part of the train-test split.,RES,ML,ORG,41,43,,,,
538,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,a  Genes mapped by the SNPs highlighted by each ML approach separately.,RES,ML,ORG,48,50,,,,
539,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,Both ML approaches and GWAS significant SNPs were identified in the same training split.,RES,ML,ORG,5,7,,,,
541,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,All GWAS genome-wide significant ( p  ≤ 5×10 −8 ) SNPs in the train split were also identified by ML approaches.,RES,ML,ORG,98,100,,,,
542,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,"For simplicity, genes within 500 kb of a known locus or with at least one overlapping gene with the region were annotated only by the locus, including  MS4A6A ,  CSTF1 ,  EPHX2 ,  CNN2 ,  TOMM40/NECTIN2/CLPTM1/BCL3/BCAM/APOC1/APOC2/APOC4  and  DGKQ/FAM53A , which were mapped to  MS4A *,  CASS4 ,  CLU ,  ABCA7 ,  APOE  and  IDUA  regions, respectively.",RES,"DGKQ/FAM53A, MS4A, CLU, ABCA7, APOE, IDUA","ORG, PERSON, ORG, PERSON, ORG, ORG","244, 280, 298, 305, 314, 325","255, 284, 301, 310, 318, 329",,,,
543,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\3_overlap_of_genes_associated_wi\3_p.xml,Subplots were created using ComplexUpset version 1.3.3.,RES,ComplexUpset,ORG,28,40,,,,
544,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\4_enrichment_of_ml_findings_in_b\1_p.xml,"The SNPs prioritised by ML (Tables  1  and  2 ) showed significant enrichment in microglial ( p  = 0.0024) and astrocytic regions ( p  = 0.0083), but not synaptic regions ( p  = 0.117).",RES,ML,ORG,24,26,,,,
545,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\4_enrichment_of_ml_findings_in_b\1_p.xml,All 68 genes from 52 loci reported in Tables  1  and  2  were further analysed for protein-protein interaction scores using the online tool STRING (Supplementary Fig.,RES,STRING,PERSON,140,146,,,,
547,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\4_enrichment_of_ml_findings_in_b\1_p.xml,Pathway analyses demonstrated enrichment in various gene-ontology (GO) pathways (Fig.,RES,"Pathway, GO, Fig","ORG, ORG, PERSON","0, 67, 81","7, 69, 84",,,,
548,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\4_enrichment_of_ml_findings_in_b\1_p.xml,"3d , Supplementary Data  7 ).",RES,Supplementary Data,ORG,5,23,,,,
549,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\2_body\1_results\4_enrichment_of_ml_findings_in_b\1_p.xml,"As expected, GO pathways yielded a number of biological processes of interest to Alzheimer’s disease, including regulation of amyloid beta formation ( p FDR  = 0.0014) and regulation of amyloid precursor protein catabolic process ( p FDR  = 0.00023, Fig.",RES,"GO, FDR, FDR, Fig","ORG, PERSON, PERSON, PERSON","13, 153, 234, 250","15, 156, 237, 253",,,,
